Data ,Label
"यो समान राम्रो रहेछ",1
"समान राम्रो रहेछ",1
"राम्रो रहेछ",1

"यो घडी मलाइ साँच्चिकै सुहाउछ । म यसलाई खरीद गर्नेछु।:)",1
"साँच्चिकै सुहाउछ",1
"सुहाउछ",1
"खरीद गर्नेछु",2

"मूल्य प्रति अनुसार राम्रो उत्पादन",1
"राम्रो उत्पादन",1

"ठिकै उत्पादन हो",2

"सामान त राम्रो रहिछ ।",1

"वाह",1

"सहि हो सहि हो",1
"सहि हो",1

"चाख् लाग्दो ",1

"एकदम दामी छ ।",1
"एकदम दामी",1
"दामी छ",1

"मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन" ,1
"मेरा बच्चाहरू",2
"यसलाई प्रयोग गर्न मनपराउछन",1
"मनपराउछन",1

"शुरुआती वा अनुभवी व्यक्तिको लागि उत्कृष्ट",1
"शुरुआती वा अनुभवी",1
"अनुभवी",1
"व्यक्तिको लागि उत्कृष्ट",1
"उत्कृष्ट",1

"उनीहरूको लागि सस्तो ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ" ,1
"ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ",1
"प्रयोग गर्न र सिक्नका लागि सजिलो छ",1
"सजिलो छ",1

"मूल्यको लागि मलाई लाग्छ यो ट्याब्लेट त्यहाँ सबै भन्दा राम्रो छ",1
"सबै भन्दा राम्रो छ",1

"यो सामन साइज को छ।मैले यसलाई मेरो पतिको लागि खरिद गरेँ किनकि उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ",1
"यो सामन साइज को छ",1
"उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ",2

यो उत्पादन ले आज  सम्म निराश छैन  मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन,1
"यो उत्पादन ले आज  सम्म निराश छैन",1
"निराश छैन",1
"मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन",1
"मेरा बच्चाहरू",2

